Insertion_age	Family	Specie
1.33	RLG	L. perrieri
1.71	RLG	L. perrieri
1.9	RLG	L. perrieri
0.86	RLG	L. perrieri
1.26	RLG	L. perrieri
2.31	RLG	L. perrieri
2.05	RLG	L. perrieri
1.95	RLG	L. perrieri
2.1	RLG	L. perrieri
2.68	RLG	L. perrieri
2	RLG	L. perrieri
1.45	RLG	L. perrieri
2.03	RLG	L. perrieri
1.89	RLG	L. perrieri
2.24	RLG	L. perrieri
1.9	RLG	L. perrieri
1.34	RLG	L. perrieri
2.71	RLG	L. perrieri
1.37	RLG	L. perrieri
2.08	RLG	L. perrieri
2.28	RLG	L. perrieri
2.1	RLG	L. perrieri
2.02	RLG	L. perrieri
2.49	RLG	L. perrieri
2.28	RLG	L. perrieri
2.18	RLX	L. perrieri
1.05	RLC	L. perrieri
1.81	RLG	L. perrieri
1.65	RLG	L. perrieri
1.85	RLG	L. perrieri
2.19	RLG	L. perrieri
1.85	RLG	L. perrieri
2.33	RLG	L. perrieri
2.1	RLG	L. perrieri
1.6	RLG	L. perrieri
2.37	RLG	L. perrieri
3.31	RLG	L. perrieri
1.84	RLG	L. perrieri
1.98	RLG	L. perrieri
1.4	RLG	L. perrieri
1.51	RLG	L. perrieri
1.93	RLG	L. perrieri
1.85	RLG	L. perrieri
1.27	RLC	L. perrieri
0.47	RLC	L. perrieri
1.19	RLC	L. perrieri
1.28	RLC	L. perrieri
2.07	RLC	L. perrieri
1.42	RLC	L. perrieri
0.53	RLG	L. perrieri
1.32	RLC	L. perrieri
1.18	RLG	L. perrieri
1.44	RLC	L. perrieri
2.58	RLC	L. perrieri
2.36	RLX	L. perrieri
2.53	RLC	L. perrieri
0.92	RLC	L. perrieri
2.01	RLG	L. perrieri
1.45	RLG	L. perrieri
3.04	RLG	L. perrieri
0.1	RLC	L. perrieri
2.06	RLC	L. perrieri
2.49	RLG	L. perrieri
1.92	RLG	L. perrieri
1.1	RLC	L. perrieri
1.28	RLG	L. perrieri
3.15	RLG	L. perrieri
3.9	RLG	L. perrieri
0.86	RLC	L. perrieri
1.73	RLC	L. perrieri
1.4	RLG	L. perrieri
0.34	RLG	L. perrieri
0.55	RLG	L. perrieri
2.59	RLG	L. perrieri
3.33	RLG	L. perrieri
1.99	RLG	L. perrieri
1.65	RLG	L. perrieri
3.48	RLC	L. perrieri
0.32	RLC	L. perrieri
0.66	RLG	L. perrieri
2.08	RLG	L. perrieri
1.03	RLC	L. perrieri
2.12	RLG	L. perrieri
1.48	RLG	L. perrieri
1.8	RLC	L. perrieri
2.31	RLC	L. perrieri
2.16	RLC	L. perrieri
1.87	RLC	L. perrieri
1.69	RLX	L. perrieri
4.42	RLG	L. perrieri
1.45	RLC	L. perrieri
1.42	RLG	L. perrieri
1.37	RLG	L. perrieri
1.38	RLG	L. perrieri
0.94	RLG	L. perrieri
1.93	RLG	L. perrieri
0.64	RLC	L. perrieri
2.66	RLC	L. perrieri
3.47	RLG	L. perrieri
2.12	RLG	L. perrieri
2.15	RLX	L. perrieri
2.29	RLG	L. perrieri
2.79	RLG	L. perrieri
2.72	RLG	L. perrieri
0.19	RLG	L. perrieri
0.72	RLC	L. perrieri
3.29	RLG	L. perrieri
1.45	RLG	L. perrieri
0.21	RLC	L. perrieri
2.58	RLG	L. perrieri
2.21	RLG	L. perrieri
3.31	RLG	L. perrieri
1.26	RLC	L. perrieri
1	RLG	L. perrieri
2.58	RLG	L. perrieri
0.58	RLG	L. perrieri
1.11	RLC	L. perrieri
0.64	RLG	L. perrieri
1.17	RLC	L. perrieri
0.91	RLC	L. perrieri
0.66	RLG	L. perrieri
1.17	RLC	L. perrieri
0.95	RLG	L. perrieri
0.35	RLC	L. perrieri
1.51	RLC	L. perrieri
0.97	RLX	L. perrieri
1.41	RLG	L. perrieri
1.83	RLG	L. perrieri
1.01	RLG	L. perrieri
2.07	RLG	L. perrieri
0.93	RLC	L. perrieri
1.87	RLG	L. perrieri
2.54	RLG	L. perrieri
0.14	RLG	L. perrieri
0.63	RLC	L. perrieri
0.25	RLC	L. perrieri
2.12	RLX	L. perrieri
3.09	RLG	L. perrieri
2.95	RLX	L. perrieri
1.53	RLX	L. perrieri
2.65	RLG	L. perrieri
2.73	RLG	L. perrieri
2.69	RLX	L. perrieri
2.1	RLX	L. perrieri
2.8	RLX	L. perrieri
2.4	RLG	L. perrieri
2.8	RLX	L. perrieri
1.35	RLC	L. perrieri
1.54	RLC	L. perrieri
2.2	RLC	L. perrieri
1.63	RLG	L. perrieri
0.64	RLG	L. perrieri
1.4	RLG	L. perrieri
1.57	RLG	L. perrieri
1.74	RLG	L. perrieri
2.34	RLG	L. perrieri
1.31	RLC	L. perrieri
1.11	RLC	L. perrieri
1.41	RLC	L. perrieri
1.27	RLC	L. perrieri
1.82	RLG	L. perrieri
1.17	RLG	L. perrieri
2.09	RLG	L. perrieri
1.74	RLG	L. perrieri
1.53	RLC	L. perrieri
1.34	RLX	L. perrieri
1.75	RLG	L. perrieri
1.47	RLG	L. perrieri
3.03	RLG	L. perrieri
3.56	RLG	L. perrieri
3.02	RLG	L. perrieri
3.17	RLG	L. perrieri
2.44	RLC	L. perrieri
1.54	RLC	L. perrieri
0.86	RLC	L. perrieri
0.65	RLC	L. perrieri
1.32	RLG	L. perrieri
2.24	RLG	L. perrieri
1.61	RLG	L. perrieri
0.99	RLG	L. perrieri
2.21	RLG	L. perrieri
2.73	RLG	L. perrieri
1.32	RLG	L. perrieri
1.59	RLG	L. perrieri
1.91	RLG	L. perrieri
0.37	RLG	L. perrieri
1.27	RLG	L. perrieri
1.59	RLG	L. perrieri
1.44	RLG	L. perrieri
2.05	RLG	L. perrieri
1.39	RLG	L. perrieri
1.28	RLG	L. perrieri
1.18	RLG	L. perrieri
2.04	RLG	L. perrieri
3.2	RLG	L. perrieri
1.93	RLG	L. perrieri
2.21	RLG	L. perrieri
1.93	RLG	L. perrieri
2.06	RLG	L. perrieri
2.6	RLG	L. perrieri
1.55	RLG	L. perrieri
2.08	RLG	L. perrieri
2.27	RLG	L. perrieri
2.65	RLG	L. perrieri
1.71	RLG	L. perrieri
1.44	RLG	L. perrieri
2.02	RLG	L. perrieri
2.47	RLG	L. perrieri
1.13	RLG	L. perrieri
1.84	RLG	L. perrieri
1.07	RLG	L. perrieri
2.47	RLG	L. perrieri
1.87	RLG	L. perrieri
0.86	RLG	L. perrieri
1.48	RLG	L. perrieri
1.71	RLG	L. perrieri
1.3	RLG	L. perrieri
0.66	RLG	L. perrieri
1.73	RLG	L. perrieri
2.37	RLG	L. perrieri
1.72	RLG	L. perrieri
0.32	RLG	L. perrieri
2.21	RLG	L. perrieri
0.9	RLG	L. perrieri
1.51	RLG	L. perrieri
1.86	RLG	L. perrieri
3	RLG	L. perrieri
2.19	RLG	L. perrieri
0.79	RLG	L. perrieri
2.42	RLG	L. perrieri
1.62	RLG	L. perrieri
0.72	RLG	L. perrieri
2.56	RLG	L. perrieri
1.99	RLG	L. perrieri
1.33	RLG	L. perrieri
1.22	RLG	L. perrieri
2.09	RLG	L. perrieri
2.53	RLG	L. perrieri
2.09	RLG	L. perrieri
1.61	RLG	L. perrieri
1.97	RLG	L. perrieri
1.61	RLG	L. perrieri
1.45	RLG	L. perrieri
1.44	RLG	L. perrieri
1.07	RLG	L. perrieri
2.28	RLG	L. perrieri
1.55	RLG	L. perrieri
2.14	RLG	L. perrieri
1.76	RLG	L. perrieri
2.09	RLG	L. perrieri
1.41	RLG	L. perrieri
1.88	RLX	L. perrieri
2.14	RLX	L. perrieri
1.74	RLX	L. perrieri
1.55	RLC	L. perrieri
1.15	RLC	L. perrieri
1.58	RLC	L. perrieri
3.97	RLC	L. perrieri
1.98	RLC	L. perrieri
2.37	RLC	L. perrieri
1.48	RLC	L. perrieri
1.88	RLC	L. perrieri
2.45	RLC	L. perrieri
1.72	RLC	L. perrieri
1.76	RLC	L. perrieri
0.55	RLC	L. perrieri
1.21	RLC	L. perrieri
1.21	RLC	L. perrieri
0.78	RLC	L. perrieri
0.82	RLC	L. perrieri
0.44	RLC	L. perrieri
0.91	RLC	L. perrieri
0.62	RLC	L. perrieri
1.93	RLC	L. perrieri
2.22	RLC	L. perrieri
1.18	RLC	L. perrieri
2.96	RLC	L. perrieri
2.6	RLC	L. perrieri
1.02	RLC	L. perrieri
1.56	RLC	L. perrieri
1.06	RLC	L. perrieri
1.69	RLC	L. perrieri
1.8	RLC	L. perrieri
1.56	RLG	L. perrieri
1.75	RLC	L. perrieri
3.58	RLC	L. perrieri
1.25	RLC	L. perrieri
1.35	RLG	L. perrieri
2.05	RLC	L. perrieri
0.87	RLX	L. perrieri
2.36	RLG	L. perrieri
1.37	RLG	L. perrieri
1.93	RLG	L. perrieri
2.68	RLG	L. perrieri
1.76	RLG	L. perrieri
2.94	RLG	L. perrieri
2.42	RLX	L. perrieri
1.95	RLX	L. perrieri
1.18	RLX	L. perrieri
0.88	RLX	L. perrieri
2.44	RLG	L. perrieri
1.48	RLC	L. perrieri
2.56	RLG	L. perrieri
0.93	RLC	L. perrieri
4.14	RLG	L. perrieri
2.39	RLG	L. perrieri
0.38	RLC	L. perrieri
2.8	RLG	L. perrieri
1.8	RLG	L. perrieri
0.7	RLC	L. perrieri
1.96	RLX	L. perrieri
1.74	RLX	L. perrieri
2.14	RLX	L. perrieri
1.56	RLX	L. perrieri
3.13	RLX	L. perrieri
2.45	RLC	L. perrieri
0.66	RLC	L. perrieri
2.14	RLG	L. perrieri
0.19	RLC	L. perrieri
1.95	RLC	L. perrieri
1.46	RLG	L. perrieri
1.91	RLG	L. perrieri
1.87	RLG	L. perrieri
1.13	RLG	L. perrieri
1.11	RLC	L. perrieri
2.45	RLG	L. perrieri
2.26	RLG	L. perrieri
1.69	RLG	L. perrieri
2.43	RLC	L. perrieri
1.85	RLC	L. perrieri
1.58	RLG	L. perrieri
0.68	RLC	L. perrieri
1.23	RLC	L. perrieri
0.26	RLG	L. perrieri
1.11	RLC	L. perrieri
1.52	RLG	L. perrieri
1.51	RLC	L. perrieri
1.06	RLG	L. perrieri
1.47	RLG	L. perrieri
0.88	RLC	L. perrieri
2.93	RLG	L. perrieri
0.97	RLC	L. perrieri
1.79	RLG	L. perrieri
3.14	RLC	L. perrieri
1.39	RLG	L. perrieri
1.73	RLC	L. perrieri
2.55	RLG	L. perrieri
2.16	RLG	L. perrieri
2.49	RLG	L. perrieri
1.94	RLG	L. perrieri
1.44	RLG	L. perrieri
2.27	RLC	L. perrieri
2.03	RLG	L. perrieri
0.55	RLC	L. perrieri
1.38	RLG	L. perrieri
1.69	RLC	L. perrieri
1.55	RLC	L. perrieri
1.23	RLC	L. perrieri
1.56	RLC	L. perrieri
0.05	RLC	L. perrieri
1.21	RLC	L. perrieri
1.87	RLX	L. perrieri
1.82	RLX	L. perrieri
1.9	RLX	L. perrieri
2.03	RLX	L. perrieri
2.09	RLX	L. perrieri
1.4	RLC	L. perrieri
1.87	RLG	L. perrieri
1.8	RLG	L. perrieri
1.8	RLG	L. perrieri
0.62	RLG	L. perrieri
1.79	RLG	L. perrieri
2.16	RLC	L. perrieri
1.94	RLG	L. perrieri
1.1	RLG	L. perrieri
1.49	RLG	L. perrieri
3.23	RLX	L. perrieri
2.2	RLX	L. perrieri
3.06	RLX	L. perrieri
2.3	RLX	L. perrieri
1.83	RLX	L. perrieri
2.03	RLX	L. perrieri
1.56	RLG	L. perrieri
2.68	RLC	L. perrieri
1.43	RLG	L. perrieri
3.25	RLG	L. perrieri
2.27	RLC	L. perrieri
2.74	RLC	L. perrieri
2.28	RLG	L. perrieri
2.53	RLG	L. perrieri
2.3	RLG	L. perrieri
2.09	RLG	L. perrieri
2.81	RLC	L. perrieri
0.29	RLG	L. perrieri
1.28	RLC	L. perrieri
0.8	RLG	L. perrieri
0.97	RLC	L. perrieri
1.01	RLC	L. perrieri
1.52	RLG	L. perrieri
1.85	RLG	L. perrieri
1.95	RLC	L. perrieri
2.39	RLG	L. perrieri
1.89	RLG	L. perrieri
2.24	RLC	L. perrieri
2.21	RLG	L. perrieri
1.35	RLC	L. perrieri
1.64	RLG	L. perrieri
1.52	RLG	L. perrieri
1.22	RLC	L. perrieri
2.02	RLC	L. perrieri
0.58	RLC	L. perrieri
1.99	RLX	L. perrieri
2.58	RLX	L. perrieri
3.56	RLX	L. perrieri
2.65	RLX	L. perrieri
2.09	RLX	L. perrieri
2.38	RLX	L. perrieri
3.33	RLX	L. perrieri
1.96	RLX	L. perrieri
2.75	RLX	L. perrieri
2.28	RLX	L. perrieri
2.76	RLX	L. perrieri
2.48	RLX	L. perrieri
2.35	RLX	L. perrieri
2.47	RLX	L. perrieri
2.19	RLX	L. perrieri
2.79	RLX	L. perrieri
2.12	RLX	L. perrieri
0.33	RLX	L. perrieri
1.13	RLX	L. perrieri
2.18	RLX	L. perrieri
1.86	RLX	L. perrieri
2.31	RLX	L. perrieri
2.18	RLX	L. perrieri
1.51	RLX	L. perrieri
1.71	RLX	L. perrieri
2.04	RLX	L. perrieri
2.76	RLX	L. perrieri
2.46	RLX	L. perrieri
2.93	RLX	L. perrieri
2.01	RLX	L. perrieri
2.37	RLX	L. perrieri
2.19	RLX	L. perrieri
1.52	RLX	L. perrieri
3.2	RLX	L. perrieri
2.19	RLX	L. perrieri
1.59	RLX	L. perrieri
2.14	RLX	L. perrieri
2.12	RLX	L. perrieri
1.51	RLX	L. perrieri
2.78	RLX	L. perrieri
3.42	RLX	L. perrieri
1.99	RLX	L. perrieri
2.76	RLX	L. perrieri
3.86	RLX	L. perrieri
1.52	RLX	L. perrieri
1.44	RLX	L. perrieri
2.43	RLX	L. perrieri
2.23	RLX	L. perrieri
1.49	RLX	L. perrieri
2.61	RLX	L. perrieri
1.92	RLX	L. perrieri
2.09	RLX	L. perrieri
2	RLX	L. perrieri
2.5	RLX	L. perrieri
2.62	RLX	L. perrieri
0.36	RLC	L. perrieri
0.98	RLC	L. perrieri
1.73	RLC	L. perrieri
2.02	RLC	L. perrieri
0.84	RLC	L. perrieri
1.4	RLC	L. perrieri
3.18	RLC	L. perrieri
0.68	RLC	L. perrieri
1.07	RLG	L. perrieri
2.07	RLG	L. perrieri
3.22	RLG	L. perrieri
3.02	RLG	L. perrieri
1.42	RLC	L. perrieri
0.24	RLC	L. perrieri
0.86	RLG	L. perrieri
3.08	RLX	L. perrieri
1.45	RLX	L. perrieri
3.43	RLX	L. perrieri
2.83	RLG	L. perrieri
0.56	RLG	L. perrieri
1.13	RLG	L. perrieri
2.94	RLG	L. perrieri
1.79	RLC	L. perrieri
1.61	RLG	L. perrieri
2.9	RLC	L. perrieri
2.13	RLG	L. perrieri
0.62	RLG	L. perrieri
1.94	RLX	L. perrieri
2.52	RLG	L. perrieri
2.19	RLG	L. perrieri
2.38	RLG	L. perrieri
1.22	RLG	L. perrieri
1.67	RLG	L. perrieri
1.15	RLG	L. perrieri
2.54	RLG	L. perrieri
1.3	RLG	L. perrieri
2.09	RLG	L. perrieri
0.89	RLG	L. perrieri
1.54	RLC	L. perrieri
3.79	RLC	L. perrieri
2.06	RLC	L. perrieri
2.56	RLC	L. perrieri
1.96	RLG	L. perrieri
1.52	RLC	L. perrieri
1.79	RLG	L. perrieri
0.6	RLG	L. perrieri
2.93	RLG	L. perrieri
1.36	RLC	L. perrieri
1.3	RLC	L. perrieri
0.82	RLG	L. perrieri
1.44	RLG	L. perrieri
2.75	RLC	L. perrieri
1.95	RLX	L. perrieri
2.67	RLX	L. perrieri
3.07	RLX	L. perrieri
1.55	RLX	L. perrieri
1.82	RLC	L. perrieri
0.89	RLC	L. perrieri
0.97	RLC	L. perrieri
3.52	RLG	L. perrieri
1.12	RLG	L. perrieri
2.45	RLG	L. perrieri
1.43	RLG	L. perrieri
2.23	RLG	L. perrieri
2.65	RLG	L. perrieri
2.35	RLG	L. perrieri
3.5	RLC	L. perrieri
0.68	RLC	L. perrieri
2.3	RLG	L. perrieri
1.96	RLG	L. perrieri
2.38	RLG	L. perrieri
1.51	RLC	L. perrieri
1.5	RLG	L. perrieri
2.04	RLC	L. perrieri
0.61	RLC	L. perrieri
1.27	RLC	L. perrieri
1.85	RLC	L. perrieri
1.86	RLX	L. perrieri
2.31	RLX	L. perrieri
1.53	RLX	L. perrieri
2.06	RLG	L. perrieri
2.27	RLX	L. perrieri
2.04	RLX	L. perrieri
1.08	RLX	L. perrieri
1.34	RLG	L. perrieri
1.55	RLX	L. perrieri
2.11	RLX	L. perrieri
1.66	RLC	L. perrieri
2.2	RLC	L. perrieri
2.35	RLC	L. perrieri
1.09	RLC	L. perrieri
1.47	RLC	L. perrieri
1.29	RLC	L. perrieri
1.24	RLC	L. perrieri
2.05	RLC	L. perrieri
0.27	RLC	L. perrieri
3.34	RLC	L. perrieri
2.63	RLC	L. perrieri
3.03	RLG	L. perrieri
2.24	RLG	L. perrieri
2.78	RLG	L. perrieri
0.72	RLC	L. perrieri
2.26	RLC	L. perrieri
2.71	RLC	L. perrieri
2.01	RLC	L. perrieri
1.73	RLC	L. perrieri
1.62	RLG	L. perrieri
1.84	RLG	L. perrieri
2.63	RLG	L. perrieri
2.02	RLG	L. perrieri
1.43	RLG	L. perrieri
2.29	RLG	L. perrieri
2.65	RLG	L. perrieri
1.65	RLG	L. perrieri
1.86	RLG	L. perrieri
2.78	RLG	L. perrieri
1.74	RLG	L. perrieri
2.14	RLG	L. perrieri
2.21	RLG	L. perrieri
2.09	RLG	L. perrieri
2.72	RLG	L. perrieri
1.69	RLG	L. perrieri
2.07	RLG	L. perrieri
1.98	RLG	L. perrieri
2.48	RLG	L. perrieri
2.09	RLG	L. perrieri
2.57	RLG	L. perrieri
2.27	RLG	L. perrieri
1.85	RLG	L. perrieri
2.27	RLG	L. perrieri
1.89	RLG	L. perrieri
2.2	RLG	L. perrieri
1.45	RLG	L. perrieri
2.35	RLG	L. perrieri
1.91	RLG	L. perrieri
1.87	RLG	L. perrieri
1.55	RLG	L. perrieri
1.63	RLG	L. perrieri
2.2	RLG	L. perrieri
1.24	RLG	L. perrieri
1.57	RLX	L. perrieri
1.88	RLX	L. perrieri
2.32	RLX	L. perrieri
1.97	RLX	L. perrieri
1.91	RLX	L. perrieri
1.72	RLG	L. perrieri
1.58	RLC	L. perrieri
0.34	RLX	L. perrieri
2.09	RLX	L. perrieri
1.18	RLX	L. perrieri
2.44	RLG	L. perrieri
0.6	RLX	L. perrieri
1.39	RLX	L. perrieri
0.8	RLX	L. perrieri
0.34	RLG	L. perrieri
2.03	RLX	L. perrieri
1.75	RLX	L. perrieri
1.38	RLX	L. perrieri
2.85	RLX	L. perrieri
2.71	RLX	L. perrieri
2.85	RLX	L. perrieri
2.01	RLG	L. perrieri
2.6	RLG	L. perrieri
1.7	RLG	L. perrieri
2.69	RLG	L. perrieri
2.58	RLC	L. perrieri
1.9	RLC	L. perrieri
2.15	RLC	L. perrieri
1.96	RLG	L. perrieri
1.49	RLG	L. perrieri
1.24	RLG	L. perrieri
3.64	RLG	L. perrieri
3.03	RLG	L. perrieri
0.8	RLG	L. perrieri
1.05	RLG	L. perrieri
3.14	RLG	L. perrieri
2.57	RLG	L. perrieri
2.95	RLX	L. perrieri
2.19	RLX	L. perrieri
2.59	RLX	L. perrieri
1.81	RLG	L. perrieri
2.24	RLG	L. perrieri
1.86	RLG	L. perrieri
2.11	RLG	L. perrieri
1.99	RLG	L. perrieri
2.23	RLG	L. perrieri
2.25	RLG	L. perrieri
2.4	RLG	L. perrieri
1.99	RLG	L. perrieri
2.23	RLG	L. perrieri
2.11	RLG	L. perrieri
1.65	RLG	L. perrieri
2.34	RLG	L. perrieri
1.69	RLG	L. perrieri
1.39	RLG	L. perrieri
