Insertion_age	Family	Specie
2.18	RLX	L. perrieri
2.36	RLX	L. perrieri
1.69	RLX	L. perrieri
2.15	RLX	L. perrieri
0.97	RLX	L. perrieri
2.12	RLX	L. perrieri
2.95	RLX	L. perrieri
1.53	RLX	L. perrieri
2.69	RLX	L. perrieri
2.1	RLX	L. perrieri
2.8	RLX	L. perrieri
2.8	RLX	L. perrieri
1.34	RLX	L. perrieri
1.88	RLX	L. perrieri
2.14	RLX	L. perrieri
1.74	RLX	L. perrieri
0.87	RLX	L. perrieri
2.42	RLX	L. perrieri
1.95	RLX	L. perrieri
1.18	RLX	L. perrieri
0.88	RLX	L. perrieri
1.96	RLX	L. perrieri
1.74	RLX	L. perrieri
2.14	RLX	L. perrieri
1.56	RLX	L. perrieri
3.13	RLX	L. perrieri
1.87	RLX	L. perrieri
1.82	RLX	L. perrieri
1.9	RLX	L. perrieri
2.03	RLX	L. perrieri
2.09	RLX	L. perrieri
3.23	RLX	L. perrieri
2.2	RLX	L. perrieri
3.06	RLX	L. perrieri
2.3	RLX	L. perrieri
1.83	RLX	L. perrieri
2.03	RLX	L. perrieri
1.99	RLX	L. perrieri
2.58	RLX	L. perrieri
3.56	RLX	L. perrieri
2.65	RLX	L. perrieri
2.09	RLX	L. perrieri
2.38	RLX	L. perrieri
3.33	RLX	L. perrieri
1.96	RLX	L. perrieri
2.75	RLX	L. perrieri
2.28	RLX	L. perrieri
2.76	RLX	L. perrieri
2.48	RLX	L. perrieri
2.35	RLX	L. perrieri
2.47	RLX	L. perrieri
2.19	RLX	L. perrieri
2.79	RLX	L. perrieri
2.12	RLX	L. perrieri
0.33	RLX	L. perrieri
1.13	RLX	L. perrieri
2.18	RLX	L. perrieri
1.86	RLX	L. perrieri
2.31	RLX	L. perrieri
2.18	RLX	L. perrieri
1.51	RLX	L. perrieri
1.71	RLX	L. perrieri
2.04	RLX	L. perrieri
2.76	RLX	L. perrieri
2.46	RLX	L. perrieri
2.93	RLX	L. perrieri
2.01	RLX	L. perrieri
2.37	RLX	L. perrieri
2.19	RLX	L. perrieri
1.52	RLX	L. perrieri
3.2	RLX	L. perrieri
2.19	RLX	L. perrieri
1.59	RLX	L. perrieri
2.14	RLX	L. perrieri
2.12	RLX	L. perrieri
1.51	RLX	L. perrieri
2.78	RLX	L. perrieri
3.42	RLX	L. perrieri
1.99	RLX	L. perrieri
2.76	RLX	L. perrieri
3.86	RLX	L. perrieri
1.52	RLX	L. perrieri
1.44	RLX	L. perrieri
2.43	RLX	L. perrieri
2.23	RLX	L. perrieri
1.49	RLX	L. perrieri
2.61	RLX	L. perrieri
1.92	RLX	L. perrieri
2.09	RLX	L. perrieri
2	RLX	L. perrieri
2.5	RLX	L. perrieri
2.62	RLX	L. perrieri
3.08	RLX	L. perrieri
1.45	RLX	L. perrieri
3.43	RLX	L. perrieri
1.94	RLX	L. perrieri
1.95	RLX	L. perrieri
2.67	RLX	L. perrieri
3.07	RLX	L. perrieri
1.55	RLX	L. perrieri
1.86	RLX	L. perrieri
2.31	RLX	L. perrieri
1.53	RLX	L. perrieri
2.27	RLX	L. perrieri
2.04	RLX	L. perrieri
1.08	RLX	L. perrieri
1.55	RLX	L. perrieri
2.11	RLX	L. perrieri
1.57	RLX	L. perrieri
1.88	RLX	L. perrieri
2.32	RLX	L. perrieri
1.97	RLX	L. perrieri
1.91	RLX	L. perrieri
0.34	RLX	L. perrieri
2.09	RLX	L. perrieri
1.18	RLX	L. perrieri
0.6	RLX	L. perrieri
1.39	RLX	L. perrieri
0.8	RLX	L. perrieri
2.03	RLX	L. perrieri
1.75	RLX	L. perrieri
1.38	RLX	L. perrieri
2.85	RLX	L. perrieri
2.71	RLX	L. perrieri
2.85	RLX	L. perrieri
2.95	RLX	L. perrieri
2.19	RLX	L. perrieri
2.59	RLX	L. perrieri
3.05	RLX	L. perrieri
3.13	RLX	L. perrieri
0.77	RLX	L. perrieri
1.75	RLX	L. perrieri
2.46	RLX	L. perrieri
0.68	RLX	L. perrieri
1.32	RLX	L. perrieri
3.47	RLX	L. perrieri
2.74	RLX	L. perrieri
1.53	RLX	L. perrieri
3.23	RLX	L. perrieri
2.72	RLX	L. perrieri
0.12	RLX	L. perrieri
2.58	RLX	L. perrieri
2.75	RLX	L. perrieri
1.33	RLX	L. perrieri
2.04	RLX	L. perrieri
1.71	RLX	L. perrieri
0.48	RLX	L. perrieri
0.25	RLX	L. perrieri
0.87	RLX	L. perrieri
1.46	RLX	L. perrieri
1.24	RLX	L. perrieri
2.06	RLX	L. perrieri
1.12	RLX	L. perrieri
1.93	RLX	L. perrieri
1.39	RLX	L. perrieri
1.8	RLX	L. perrieri
2.75	RLX	L. perrieri
0.97	RLX	L. perrieri
2.17	RLX	L. perrieri
0.84	RLX	L. perrieri
1.24	RLX	L. perrieri
1.38	RLX	L. perrieri
1.02	RLX	L. perrieri
0.33	RLX	L. perrieri
0.34	RLX	L. perrieri
0.65	RLX	L. perrieri
0.91	RLX	L. perrieri
0.92	RLX	L. perrieri
1.98	RLX	L. perrieri
2.38	RLX	L. perrieri
2.81	RLX	L. perrieri
1.63	RLX	L. perrieri
2.02	RLX	L. perrieri
1.69	RLX	L. perrieri
2.35	RLX	L. perrieri
1.88	RLX	L. perrieri
2.76	RLX	L. perrieri
2.62	RLX	L. perrieri
2.24	RLX	L. perrieri
2.47	RLX	L. perrieri
1.65	RLX	L. perrieri
1.64	RLX	L. perrieri
1.01	RLX	L. perrieri
2.48	RLX	L. perrieri
1.78	RLX	L. perrieri
1.57	RLX	O. barthii
1.63	RLX	O. barthii
1.22	RLX	O. barthii
1.49	RLX	O. barthii
1.89	RLX	O. barthii
1.89	RLX	O. barthii
3.34	RLX	O. barthii
1.34	RLX	O. barthii
1.7	RLX	O. barthii
2.25	RLX	O. barthii
1.55	RLX	O. barthii
1.71	RLX	O. barthii
1.83	RLX	O. barthii
0.74	RLX	O. barthii
1.49	RLX	O. barthii
2.5	RLX	O. barthii
2.43	RLX	O. barthii
2.76	RLX	O. barthii
0.78	RLX	O. barthii
1.78	RLX	O. barthii
1.66	RLX	O. barthii
1.22	RLX	O. barthii
2.33	RLX	O. barthii
0.71	RLX	O. barthii
2.55	RLX	O. barthii
1.71	RLX	O. barthii
2.07	RLX	O. barthii
2.56	RLX	O. barthii
2.92	RLX	O. barthii
1.19	RLX	O. barthii
0.85	RLX	O. barthii
1.95	RLX	O. barthii
2.2	RLX	O. barthii
1	RLX	O. barthii
1.78	RLX	O. barthii
1.54	RLX	O. barthii
1.29	RLX	O. barthii
1.22	RLX	O. barthii
1.73	RLX	O. barthii
1.5	RLX	O. barthii
1.49	RLX	O. barthii
1.7	RLX	O. barthii
2.94	RLX	O. barthii
1.71	RLX	O. barthii
1.8	RLX	O. barthii
0.26	RLX	O. barthii
0.99	RLX	O. barthii
1.44	RLX	O. barthii
1.19	RLX	O. barthii
1.86	RLX	O. barthii
0.77	RLX	O. barthii
1.69	RLX	O. barthii
2.48	RLX	O. barthii
3.65	RLX	O. barthii
2.37	RLX	O. barthii
1.78	RLX	O. barthii
1.54	RLX	O. barthii
1.29	RLX	O. barthii
3.69	RLX	O. barthii
1.46	RLX	O. barthii
2.4	RLX	O. barthii
1.41	RLX	O. barthii
3.3	RLX	O. barthii
1.89	RLX	O. barthii
2.84	RLX	O. barthii
2.97	RLX	O. barthii
2.45	RLX	O. barthii
2	RLX	O. barthii
1.59	RLX	O. barthii
1.08	RLX	O. barthii
2.03	RLX	O. barthii
2.11	RLX	O. barthii
2.33	RLX	O. barthii
1.31	RLX	O. barthii
1.59	RLX	O. barthii
1.38	RLX	O. barthii
1.54	RLX	O. barthii
0.71	RLX	O. barthii
0.65	RLX	O. barthii
1.35	RLX	O. barthii
0.85	RLX	O. barthii
1.36	RLX	O. barthii
1.66	RLX	O. barthii
1.86	RLX	O. barthii
1.26	RLX	O. barthii
2.6	RLX	O. barthii
1.68	RLX	O. barthii
0.91	RLX	O. barthii
1.72	RLX	O. barthii
1.68	RLX	O. barthii
1.79	RLX	O. barthii
1.69	RLX	O. barthii
2.14	RLX	O. barthii
3.09	RLX	O. barthii
2.33	RLX	O. barthii
0.99	RLX	O. barthii
1.74	RLX	O. barthii
1.36	RLX	O. barthii
1.64	RLX	O. barthii
1.68	RLX	O. barthii
1.05	RLX	O. barthii
1.29	RLX	O. barthii
1.53	RLX	O. barthii
1.56	RLX	O. barthii
1.48	RLX	O. barthii
0.81	RLX	O. barthii
1.15	RLX	O. barthii
1.74	RLX	O. barthii
2.42	RLX	O. barthii
1.52	RLX	O. barthii
1.63	RLX	O. barthii
2.56	RLX	O. barthii
1.58	RLX	O. barthii
1.62	RLX	O. barthii
1.74	RLX	O. barthii
1.7	RLX	O. barthii
2.09	RLX	O. barthii
1.09	RLX	O. barthii
0.86	RLX	O. barthii
1.56	RLX	O. barthii
1.11	RLX	O. barthii
2	RLX	O. barthii
2.08	RLX	O. barthii
2.23	RLX	O. barthii
1.92	RLX	O. barthii
2.18	RLX	O. barthii
1.38	RLX	O. barthii
2.51	RLX	O. barthii
2.22	RLX	O. barthii
1.6	RLX	O. barthii
0.84	RLX	O. barthii
1.32	RLX	O. barthii
1.84	RLX	O. barthii
1.25	RLX	O. barthii
1.4	RLX	O. barthii
1.42	RLX	O. barthii
1.47	RLX	O. barthii
